admin1pcode,admin4pcode,sub_district,site,longitude_x,latitude_y,persons,type,temp_code
SY02,NA,Jarablus,Bonian 3,38.001243,36.715561,163,RC/IDP,TEMP034
SY02,C1426,Jandairis,ALEMAN 2 reception center,36.68731,36.383168,151,RC/IDP,TEMP035
NA,C1572,Azaz,Iqra Temporary Reception Centre,37.076391,36.586473,300,RC/IDP,TEMP036
SY02,C1426,Jandairis,arabo Shelter Center,36.7000796,36.3968064,970,RC/IDP,TEMP038
SY02,C1426,Jandairis,iman Shelter Center,36.712115,36.402403,1165,RC/IDP,TEMP039
SY02,C1426,Jandairis,abo othman,36.68853,36.405029,710,RC/IDP,TEMP040
SY02,C1426,Jandairis,Hamza1.2.3,36.675379,36.387621,560,RC/IDP,TEMP041
SY02,C1426,Jandairis,al tell,36.696164,36.389538,990,RC/IDP,TEMP042
SY02,NA,Jandairis,kogman Shelter Center,36.740885,36.439332,1630,RC/IDP,TEMP043
SY02,C1520,Sharan,soame Shelter Center,36.92368,36.568793,630,RC/IDP,TEMP044
SY02,C1426,Jandairis,Elementary School,36.691891,36.391115,210,RC/IDP,TEMP045
SY02,NA,Jandairis,el amal2,36.638075,36.456248,1605,RC/IDP,TEMP046
SY02,NA,Afrin,MHD's reception center,36.5216964,36.8492741,753,RC/IDP,TEMP047
SY02,NA,Afrin,Afrin Garage Reception Center,36.8792741,36.8492741,285,RC/IDP,TEMP048
SY02,NA,Afrin,Haider Center,36.5216964,36.8492741,500,RC/IDP,TEMP049
SY02,C1426,Jandairis,(Al-Nasr Al-Rifa'atiya Camp),36.69597,NA,600,RC/IDP,TEMP050
SY07,C4124,Dana,"Al-Kawthar Shelter Center, next to Al-Salem camp",36.786571,36.245105,370,RC/IDP,CP002071
SY07,NA,Kafr Takharim,Shabiba shelter center,36.512154,36.117915000000004,259,RC/IDP,TEMP051
SY07,C4176,Armanaz,Omari shelter center,36.495075,36.084261,1400,RC/IDP,TEMP052
SY07,NA,Kafr Takharim,Al-Jabal Al-Sharqi Shelter Center,36.541385,36.104723,125,RC/IDP,CP000964
SY07,NA,Kafr Takharim,Kafr Takharim Shelter,36.518734,36.109859,190,RC/IDP,TEMP053
SY07,C6619,Salqin,Al-Rahma Shelter Center - Al-Maghara,36.408569,36.174244,1255,RC/IDP,TEMP054
SY07,C4140,Salqin,Al-Basatine Stadium,36.442089,36.134402,500,RC/IDP,TEMP055
SY07,C4140,Salqin,Al Fida Shelter Center Mall,36.449128,36.143528,450,RC/IDP,TEMP056
SY07,C4121,Dana,   -  Al Kamuna Sarmada,36.746104,36.143994,279,RC/IDP,TEMP057
SY02,C1426,Jandairis,  2 Al Iman 2,36.68731,36.383168,151,RC/IDP,TEMP058
SY02,C1564,Azaz,    Central Azaz RC,37.064068,36.599841,108,RC/IDP,TEMP059
SY07,NA,Qourqeena,    Koknaya Collevtive Center,36.6155,36.099056,1484,RC/IDP,CP001804
SY07,NA,Maaret Tamsrin,    Corona Collevtive center,36.664917,35.999889,48,RC/IDP,TEMP060
SY02,NA,Daret Azza,Al Hirsh(Deir Samaan)  ( ),36.845678,36.349853,639,RC/IDP,CP002206
NA,NA,NA,NA,NA,NA,NA,RC/IDP,NA
