hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,private donor,2023-02-12T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,21,11,KG,500,2400,Yes,Aleppo,Jebel Saman,Atareb,Atareb,Village & Camps,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,NA
NWS,Earthquake,Shafak,2023-02-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,5,KG,55,225,N/A,Idleb,Harim,Salqin,Salqin,In the Village,in collective temporary tents,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,CBR-044
NWS,Earthquake,Shafak,2023-02-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,5,KG,60,300,N/A,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,in collective temporary tents,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,CBR-044
NWS,Earthquake,Shafak,2023-02-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,5,KG,100,500,N/A,Idleb,Harim,Harim,Harim,In the Village,in collective temporary tents,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,CBR-044
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,100,500,N/A,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,C4140,Community,36.453694,36.139048,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,150,750,N/A,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,200,1000,N/A,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,C4115,Community,36.520746,36.212594,NA
NWS,Earthquake,Action for Humanity,2023-02-10T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,NA,1,3,KG,500,2500,N/A,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,In the Village,NA,NA,SY07,SY0704,SY070400,C4199,C4199,Community,36.314953,35.814181,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,3,KG,350,1750,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,مركز ايواء الدانه,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,3,KG,350,1750,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,مركز ايواء الكمونه,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
